date, pnl
1686096000000,0
1686182400000,0
1686268800000,0
1686355200000,0
1686441600000,0
1686528000000,0
1686614400000,0
1686700800000,0
1686787200000,0
1686873600000,0
1686960000000,0
1687046400000,-0.012
1687132800000,-0.018139277127863385
1687219200000,0.009847639891867665
1687305600000,0.032404983430620156
1687392000000,0.0555906779557427
1687478400000,0.012486759686132174
1687564800000,0.033020505001002884
1687651200000,0.002245826303075595
1687737600000,0.018524834278189732
1687824000000,-0.022556535896918528
1687910400000,-0.0031082694383637315
1687996800000,-0.04003086108479456
1688083200000,0.07225338734075633
1688169600000,0.11563060764171579
1688256000000,0.0876532324053399
1688342400000,0.12546857254095867
1688428800000,0.10253164144766529
1688515200000,0.09564065401985461
1688601600000,0.07557792564264358
1688688000000,0.12151411363223236
1688774400000,0.20894902275211807
1688860800000,0.23458166721129387
1688947200000,0.21382561046815685
1689033600000,0.21223541325930032
1689120000000,0.23926306139451592
1689206400000,0.2384104203604855
1689292800000,0.3189995441135655
1689379200000,0.31972393065426746
1689465600000,0.3195130156925806
1689552000000,0.3126134924293151
1689638400000,0.3023705138714268
1689724800000,0.2868329986338955
1689811200000,0.2921548170427425
1689897600000,0.2838130581293445
1689984000000,0.28597938236148507
1690070400000,0.2747510048925262
1690156800000,0.27752893530952266
1690243200000,0.2619471759556015
1690329600000,0.25345184917443386
1690416000000,0.26450030930372814
1690502400000,0.2644512306456056
1690588800000,0.263176398408087
1690675200000,0.26516813653560206
1690761600000,0.2592659844168435
1690848000000,0.25346360910543886
1690934400000,0.25118865056183176
1691020800000,0.24290018725896975
1691107200000,0.23566578576539082
1691193600000,0.2315511830605014
1691280000000,0.2248565548783109
1691366400000,0.22360265074298455
1691452800000,0.2201077946901483
1691539200000,0.22382812001946698
1691625600000,0.2240471129964913
1691712000000,0.22524791596322405
1691798400000,0.22468536304373798
1691884800000,0.22686141678355543
1691971200000,0.22412347658670814
1692057600000,0.22855383213745115
1692144000000,0.22290972244590693
1692230400000,0.21654516815673502
1692316800000,0.20383987203828416
1692403200000,0.194340656728268
1692489600000,0.1893793914965071
1692576000000,0.18192927633171535
1692662400000,0.17335363293254347
1692748800000,0.1648281259802993
1692835200000,0.1618415606524457
