date, price, 7-days moving avg
1686096000000, 20.399316366367188, N/A
1686182400000, 18.64940911323256, N/A
1686268800000, 18.91886786249937, N/A
1686355200000, 17.319852048307002, N/A
1686441600000, 15.712291030595962, N/A
1686528000000, 15.552165715300829, N/A
1686614400000, 15.219121441698295, N/A
1686700800000, 14.996084137168715, 17.39586051114303
1686787200000, 14.511891316589251, 16.623970192686105
1686873600000, 14.741774826096673, 16.032896221737058
1686960000000, 15.305652843805758, 15.436168645108102
1687046400000, 15.626354272653252, 15.148425901607926
1687132800000, 15.434485233897272, 15.136149221901826
1687219200000, 16.038762253116875, 15.119337724558461
1687305600000, 16.625143403026637, 15.236429269046832
1687392000000, 17.263202092310653, 15.469152021312246
1687478400000, 16.645392580230443, 15.862196417843874
1687564800000, 17.100927585909893, 16.13414181129156
1687651200000, 16.63062758389679, 16.39060963159215
1687737600000, 16.96011970924781, 16.53407724748408
1687824000000, 16.284012804480415, 16.752025029677014
1687910400000, 16.60408750457774, 16.78706082272895
1687996800000, 15.996424735598712, 16.78405283723625
1688083200000, 17.998439800632905, 16.603084643420257
1688169600000, 18.93035984897103, 16.79637710347775
1688256000000, 18.612769704794168, 17.05772456962934
1688342400000, 19.44673332510388, 17.34088772975754
1688428800000, 19.20521438307814, 17.69611824630841
1688515200000, 19.218958872995298, 18.113432757536653
1688601600000, 18.972151107472232, 18.486985810167734
1688688000000, 19.919047781939852, 18.912089577578232
1688774400000, 21.43877643006556, 19.18646214633637
1688860800000, 21.896701111607186, 19.54480737220702
1688947200000, 21.351397376477994, 20.013940430323167
1689033600000, 21.302647128052204, 20.286035294805178
1689120000000, 22.068233989934726, 20.585668544087188
1689206400000, 21.997627799970363, 20.992707846507106
1689292800000, 25.990368470421153, 21.424918802578272
1689379200000, 26.708371434451514, 22.292250329504167
1689465600000, 27.351375942539022, 23.045049615845016
1689552000000, 27.365079998210923, 23.82428887740671
1689638400000, 26.861798043195297, 24.68338639479713
1689724800000, 25.526176388954614, 25.477550811246143
1689811200000, 26.353311684653363, 25.9715425825347
1689897600000, 25.3350693194684, 26.593783137489414
1689984000000, 25.58950999514426, 26.50016897306759
1690070400000, 24.45678468463933, 26.340331624595127
1690156800000, 24.773703505475776, 25.92681858775231
1690243200000, 23.422633571179617, 25.55662194593301
1690329600000, 23.267716629540782, 25.06531273564505
1690416000000, 25.1519878372353, 24.74267562715736
1690502400000, 25.093488053679394, 24.571057934669067
1690588800000, 24.825803970620775, 24.53654632527064
1690675200000, 25.16504796989767, 24.427445464624423
1690761600000, 24.266784359176683, 24.528625933947044
1690848000000, 23.75665877952372, 24.456208913047174
1690934400000, 23.92554655853081, 24.503926799953472
1691020800000, 23.134812664080517, 24.59790250409491
1691107200000, 22.654451935469393, 24.309734622215654
1691193600000, 22.809920321126338, 23.961300891042793
1691280000000, 22.62509186558245, 23.673317512543594
1691366400000, 23.16031151415157, 23.31046664049856
1691452800000, 23.05200017950495, 23.152399091209254
1691539200000, 24.203816824917432, 23.051733576920864
1691625600000, 24.384610250755937, 23.09148647211895
1691712000000, 24.61887321060917, 23.27002898450115
1691798400000, 24.57980986376842, 23.550660595235403
1691884800000, 24.891819066984105, 23.803501958469987
1691971200000, 24.223294007901522, 24.1273201300988
1692057600000, 25.14772487652887, 24.279174772063076
1692144000000, 23.875641318375827, 24.578564014495065
1692230400000, 22.846367700285874, 24.53168179927484
1692316800000, 21.646961802699884, 24.3119328634934
1692403200000, 21.330196240480664, 23.88737409093493
1692489600000, 21.878330239316607, 23.423143573322395
1692576000000, 21.747537100837746, 22.992645169369894
1692662400000, 21.20210914644501, 22.638965611217923
1692748800000, 20.55389205635584, 22.075306221205942
1692835200000, 21.672558527450196, 21.600770612345944
1692921600000, 21.02615201908747, 21.433083587655137
1693008000000, 20.392834533596297, 21.344396475710504
1693094400000, 20.27381527104058, 21.21048766044131
1693180800000, 20.781187138711672, 20.981271236401877
1693267200000, 20.562540137575354, 20.843221241812437
1693353600000, 21.756889820182593, 20.751854240545345
1693440000000, 20.840938892992455, 20.923711063949167
1693526400000, 19.73118602186944, 20.804908259026632
1693612800000, 19.339387541129707, 20.619913116566913
1693699200000, 19.46854293968664, 20.469420689071686
1693785600000, 19.57639006334943, 20.35438178459255
1693872000000, 19.491905828235154, 20.182267916683656
1693958400000, 20.270462383722805, 20.02932015820649
1694044800000, 19.625034431663497, 19.816973381569376
1694131200000, 19.887886504760793, 19.64327274423667
1694217600000, 19.59598499714458, 19.66565852750686
1694304000000, 19.440479779530477, 19.702315306937557
1694390400000, 18.241559982955604, 19.698306284058106
1694476800000, 17.705129864271623, 19.507616272573273
1694563200000, 17.94444618355289, 19.25236256343563
1694649600000, 18.403573351427394, 18.920074534839923
1694736000000, 18.829900592345915, 18.745580094806197
1694822400000, 19.17312182700796, 18.594439250175498
1694908800000, 19.126902793634855, 18.53403022587027
1694995200000, 18.803112818374224, 18.489233513599462
1695081600000, 19.64014703071697, 18.569455347230694
1695168000000, 20.04209873431388, 18.8458863710086
1695254400000, 20.287247895504184, 19.145551021117313
1695340800000, 19.470117691401224, 19.414647384556854
1695427200000, 19.437726515592722, 19.506106970136184
1695513600000, 19.47116415036064, 19.54390763993401
1695600000000, 19.351752066049695, 19.59308783375198
1695686400000, 19.394881050820743, 19.671464869134187
1695772800000, 19.01708701773738, 19.636426872006155
1695859200000, 19.12786529422154, 19.489996626780943
1695945600000, 19.94620329719107, 19.324370540883418
1696032000000, 20.294161364007895, 19.392382770281973
1696118400000, 21.387052432956956, 19.514730605769852
